movie_id,actor_id,character,cast_order
79698,79003,Udaji,6
79698,587822,Sonubai,7
79698,30576,Governor of Bombay,8
79698,55578,York,9
79698,53676,Raoji,10
10192,12073,Shrek (voice),1
10192,776,Donkey (voice),2
10192,6941,Princess Fiona (voice),3
10192,3131,Puss in Boots (voice),4
10192,5823,Queen (voice),5
10192,65717,Brogan (voice),6
10192,8930,King (voice),7
10192,64342,Cookie (voice),8
10192,118489,Rumpelstiltskin / Priest / Krekraw Ogre (voice),9
10192,43775,Gretched (voice),10
5255,31,Hero Boy / Father / Conductor / Hobo / Scrooge / Santa Claus (voice),1
5255,2169,Smokey / Steamer (voice),2
5255,18286,Hero Girl (voice),3
5255,42363,Lonely Boy Billy (voice),4
5255,42362,Know-It-All (voice),5
5255,42287,Sister Sarah / Mother (voice),6
5255,37935,Elf Lieutenant (voice),7
5255,42286,Red Head Girl (voice),8
5255,23791,Toothless Boy (voice),9
5255,12826,Elf General (voice),10
47933,96066,Jake Morrison,1
47933,4785,David Levinson,2
47933,8984,President Whitmore,3
47933,1094091,Patricia Whitmore,4
47933,6068,President Lanford,5
47933,886,General Adams,6
47933,2535,Jasmine,7
47933,4273,Dr. Catherine Marceaux,8
47933,1213786,Dr. Brakish Okun,9
47933,6167,Julius Levinson,10
10191,449,Hiccup,1
10191,17276,Stoick,2
10191,24264,Gobber,3
10191,59174,Astrid,4
10191,21007,Snotlout,5
10191,54691,Fishlegs,6
10191,51990,Tuffnut,7
10191,41091,Ruffnut,8
10191,130081,Ack,9
10191,138619,Starkard,10
157336,10297,Joseph Cooper,1
157336,83002,Murph Cooper,2
157336,1813,Dr. Amelia Brand,3
157336,3895,Professor John Brand,4
157336,1893,Tom Cooper,5
157336,851784,Young Murph Cooper,6
157336,1190668,Young Tom Cooper,7
157336,58549,TARS (voice),8
157336,1892,Dr. Mann,9
157336,9560,Old Murph Cooper,10
27022,2963,Balthazar Blake,1
27022,449,Dave Stutler,2
27022,28782,Veronica Gorloisen,3
27022,658,Maxim Horvath,4
27022,20374,Becky Barnes,5
27022,119586,Andre,6
27022,2506,Morgana le Fay,7
27022,1254435,Young Becky,8
27022,20286,Drake Stone,9
27022,334,Bennet,10
503,6856,Robert Ramsey,1
503,3037,Richard Nelson,2
503,6164,Dylan Johns,3
503,6857,Maggie James,4
503,4730,Jennifer Ramsey,5
503,6858,Christian,6
503,6859,Elena,7
503,6860,Conor James,8
503,6861,Captain Bradford,9
503,6862,Valentin,10
810,12073,Shrek (voice),1
810,776,Donkey (voice),2
810,6941,Princess Fiona (voice),3
810,5823,Queen Lillian (voice),4
810,3131,Puss in Boots (voice),5
810,8930,King Harold (voice),6
810,4757,Prince Charming (voice),7
810,10713,Merlin (voice),8
810,12110,Cinderella (voice),9
810,12111,Prince Artie (voice),10
10140,5527,Edmund Prevensie,1
10140,5526,Lucy Pevensie,2
10140,11108,Reepicheep (Voice),3
10140,75170,Lord Drinian,4
10140,107474,Rhince,5
10140,3063,The White Witch,6
10140,143270,Rynelf,7
10140,25134,Tavros the Minotaur,8
10140,143271,Auctioneer,9
10140,25130,Caspian,10
8960,2888,John Hancock,1
8960,6885,Mary Embrey,2
8960,23532,Ray Embrey,3
8960,66658,Aaron Embrey,4
8960,1665,Red,5
8960,66634,Man Mountain,6
8960,539,Mike,7
8960,16478,Jeremy,8
8960,66623,Hottie,9
8960,61835,Jr exec,10
6479,2888,Robert Neville,1
6479,8602,Anna Montez,2
6479,49918,Ethan,3
6479,53918,Zoe Neville,4
6479,49920,Marley Neville,5
6479,7056,Dr. Alice Krippin,6
6479,49921,Mike - Military Escort,7
6479,49922,Alpha Female,8
6479,6066,Alpha Male,9
6479,964035,Military Driver - Jay,10
118,85,Willy Wonka,1
118,1281,Charlie Bucket,2
118,1282,Grandpa Joe,3
118,1285,Violet Beauregarde,4
118,1286,Veruca Salt,5
118,1290,Mike Teavee,6
118,1291,Augustus Glupsch,7
118,1283,Mrs. Bucket,8
118,1284,Mr. Bucket,9
118,1294,Mrs. Beauregard,10
18360,7399,Larry Daley,1
18360,9273,Amelia Earhart,2
18360,887,Jedediah Smith,3
18360,5587,Kahmunrah / The Thinker / Abe Lincoln,4
18360,2157,Theodore Roosevelt,5
18360,13524,Ivan the Terrible,6
18360,4581,Octavius,7
18360,17835,Dr. McPhee,8
18360,19278,General George Armstrong Custer,9
18360,19498,Al Capone,10
605,6384,"Thomas ""Neo"" Anderson",1
605,2975,Morpheus,2
605,530,Trinity,3
605,1331,Agent Smith,4
605,9572,Oracle,5
605,9443,The Architect,6
605,2192,The Merovingian,7
605,9457,Captain Ballard,8
605,9462,The Keymaker,9
605,9464,Commander Lock,10
109445,40462,Anna (voice),1
109445,19394,Elsa (voice),2
109445,221611,Kristoff (voice),3
109445,54415,Olaf (voice),4
109445,1188241,Hans (voice),5
109445,21088,Duke (voice),6
109445,8785,Pabbie / Grandpa (voice),7
109445,70238,Oaken (voice),8
109445,16842,Kai (voice),9
109445,1297610,Bulda (voice),10
13448,31,Robert Langdon,1
13448,3061,Camerlengo Patrick McKenna,2
13448,8786,Vittoria Vetra,3
13448,1640,Commander Richter,4
13448,17839,Inspector Olivetti,5
13448,12647,Cardinal Strauss,6
13448,20258,Chartrand,7
13448,74487,Claudio Vincenzi,8
13448,74488,Father Simeon,9
13448,74494,Lieutenant Valenti,10
19585,6807,Darwin the Guinea Pig (voice),1
19585,955,Juarez the Guinea Pig (voice),2
19585,56903,Blaster the Guinea Pig (voice),3
19585,15277,Hurley the Guinea Pig (voice),4
19585,884,Bucky the Hamster (voice),5
19585,2963,Speckles the Mole (voice),6
19585,84845,Mooch the Fly (voice),7
19585,84846,Jared the Skunk (voice),8
19585,84847,Micah the Fox (voice),9
19585,2440,Leonard Saber,10
57165,65731,Perseus,1
57165,3896,Zeus,2
57165,5469,Hades,3
57165,25616,Ares,4
57165,20286,Argenor,5
57165,10882,Andromeda,6
57165,2440,Hephaestus,7
57165,6413,Poseidon,8
57165,126667,Helius,9
57165,1016168,Korrina,10
7978,1121,Lawrence Talbot,1
7978,4173,Sir John Talbot,2
7978,5081,Gwen Conliffe,3
7978,1331,Inspector Francis Abberline,4
7978,119684,Solana Talbot,5
7978,117654,Kirk,6
7978,119685,Ophelia,7
7978,119687,Ben Talbot,8
7978,10672,Singh,9
7978,77996,Young Ben,10
5559,16377,Barry B. Benson,1
5559,9137,Vanessa Bloome,2
5559,12077,Narrator/Graduation Announcer (voice),3
5559,4756,Adam Flayman,4
5559,9657,Ken,5
5559,1230,Layton T. Montgomery,6
5559,2632,Mooseblood,7
5559,8534,Janet Benson,8
5559,8246,Martin Benson,9
5559,52119,Trudy,10
117251,38673,Cale,1
117251,134,President James Sawyer,2
117251,125025,Emily,3
117251,1579,Finnerty,4
117251,28633,Raphelson,5
117251,4512,Walker,6
117251,73609,Donnie the Guide,7
117251,22125,Tyler,8
117251,4776,Vice President Hammond,9
117251,58168,Melanie,10
266647,1313583,Peter Pan,1
266647,9828,James Hook,2
266647,6968,Blackbeard,3
266647,108916,Tiger Lily,4
266647,71070,Mary,5
266647,43547,Bishop,6
266647,37759,Mother Barnabas,7
266647,81840,Sam Smiegel,8
266647,1289968,Mermaid,9
266647,71281,Mutti Voosht,10
82703,15232,Mr. Peabody (voice),1
82703,558928,Sherman (voice),2
82703,42160,Penny Peterson (voice),3
82703,19,Ms. Grunion (voice),4
82703,475512,Paula Peterson,5
82703,58769,Paul Peterson (voice),6
82703,537,Principal Purdy (voice),7
82703,111923,Mason (voice),8
82703,212184,Carl (voice),9
82703,20804,French Peasant (voice),10
80321,7399,Alex (voice),1
80321,6730,King Julien XIII (voice),2
80321,14409,Melman (voice),3
80321,3910,Captain Chantel DuBois (voice),4
80321,2632,Marty (voice),5
80321,9575,Gloria (voice),6
80321,31531,Rico (voice),7
80321,5726,Maurice (voice),8
80321,83002,Gia (voice),9
80321,17419,Vitaly (voice),10
36669,517,James Bond,1
36669,4587,Jinx Johnson,2
36669,10882,Miranda Frost,3
36669,10883,Zao,4
36669,10881,Gustav Graves,5
36669,8930,Q,6
36669,1365,Mr. Kil,7
36669,147,Damian Falco,8
36669,10884,Colonel Moon,9
36669,5309,M,10
43074,55536,Abby Yates,1
43074,41091,Erin Gilbert,2
43074,1240487,Jillian Holtzmann,3
43074,168452,Patty Tolan,4
43074,74568,Kevin Smith,5
43074,1267216,Rowan North,6
43074,4391,Harold Fillmore,7
43074,39390,Agent Hawkins,8
43074,1093919,Jennifer Lynch,9
43074,1271,Mayor Bradley,10
608,2176,"Kevin Brown, Agent Kay",1
608,2888,Agent Jay,2
608,9626,Zed,3
608,6684,Serleena,4
608,9656,Scrad/Charlie,5
608,5916,Laura Vasquez,6
608,4252,Jack Jeebs,7
608,9657,Agent Tee,8
608,1240,Ben,9
608,212,Newton,10
140300,70851,Po (voice),1
140300,17419,Li (voice),2
140300,4483,Shifu (voice),3
140300,11701,Tigress (voice),4
140300,18999,Kai (voice),5
140300,18897,Monkey (voice),6
140300,19274,Mantis (voice),7
140300,140,Viper (voice),8
140300,212,Crane (voice),9
140300,11661,Mei Mei (voice),10
82702,449,Hiccup (voice),1
82702,17276,Stoick the Vast (voice),2
82702,41091,Ruffnut (voice),3
