company_id,company_name
20664,Anton Capital Entertainment (ACE)
49386,Antzworks
8833,Anvil Films
8111,Apaches Entertainment
10105,Apatow Productions
33832,Aperture Entertainment
1076,Apipoulaï
22542,Apjac International
16850,ApolloMedia Distribution
19951,ApolloProMedia GmbH & Co. 1. Filmproduktion KG (I)
23648,Apostle Productions
15464,Apotheosis Media Group
11956,Apparatus Productions
562,Appian Way
5346,Applause Pictures
57435,Applecross
28048,Applehead Pictures
57626,April Films
13829,Apropos Films
28811,Aquafilms
56482,Arachnid Productions Ltd.
3272,Aramid Entertainment Fund
10280,Arc Productions
11112,Arcade Pictures
7543,Arcadia Motion Pictures
41640,Archer Gray
1471,Archer Street Productions
55776,Arco Films S.L
26281,Ardustry Entertainment
38736,Arena
54860,Argonaut Pictures
6305,Argyle Enterprises
53194,Ariane Mararía Films
3960,ArieScope Pictures
22675,Arion Communications Ltd.
76098,Aristos Films
57946,Arka Media Works
22512,Arlington Road Productions Corporation
7453,Armada Films
35849,Armory Films
16775,Arnold Kopelson Productions
14787,Arrowstorm Entertainment
10086,Arsénico Producciones
31604,Art In Motion
8769,Art Linson Productions
3451,Art Pictures Studio
304,Artcam y Fonds Sud Cinéma
201,Arte
6111,Arte France
6916,Arte France Cinéma
23561,Artemis Films
60682,Artemple - Hollywood
3240,Artfire Films
5359,Artic Productions LLC
2394,Artina Films
2188,Artisan Entertainment
23911,Artist International
23913,Artist International Management
46695,Artists Independent Network
18620,Artists Production Group (APG)
8145,Artists Public Domain
718,Arts Council of England
42498,Arturo González Producciones Cinematográficas S.A.
11773,Artémis Productions
34558,Asahi Soft Drinks Company
1204,Ascendant Pictures
7829,Ascension Pictures
21892,Ascension Productions
26025,Ascot Elite Entertainment Group
14576,Ascot Elite Home Entertainment
84797,Asghar Farhadi Productions
11982,Ashton Productions
20289,Asia Union Film & Entertainment Ltd.
53464,Asis Productions
3033,Asmik Ace Entertainment
7151,Assassin Films
4377,Associated General Films
10313,Astral Bellevue Pathé
4042,Astral Films
2743,Astral Media
6306,Asylum
10571,Asylum Films
373,Asymmetrical Productions
81134,Atchity Entertainment International (AEI)
3267,Atlantic Entertainment Group
5387,Atlantic Pictures
22310,Atlantic Swiss Productions
11357,Atlantic Television
5564,Atlantis Pictures
30033,Atlas 2 Productions
67480,Atlas 3 Productions
507,Atlas Entertainment
54051,Atman Entertainment
2995,Atmosphere Entertainment MM
76907,Atomic Monster
58260,Attitude Pinículas y Films A.I.E.
53200,Audiovisual Aval SGR
36205,Audley Films
5729,Audley Films LLP
3322,August Entertainment
65834,August Heart Entertainment
1380,Australian Film Finance Corporation
8724,Australian Film Finance Corporation (AFFC)
7625,Automatik Entertainment
28163,Automatik Entertainment
2326,Autonomous
2525,Avalanche Productions
2517,Avenging Conscience
251,Avenue Pictures Productions
91542,Aver Media
60022,Aversano Films
1565,Avery Pix
31828,Avi Arad Productions
40642,Avikoo Studios
100,Avon Production
21106,Axon Films
10619,Azoff Entertainment
73188,Aztec Musique
52593,B Media 2012
20088,B.D.S. Productions Inc.
11353,B.H. Finance C.V.
37757,B.Sting Entertainment
69434,B24
41602,BB Film Productions
5996,BBC
8090,BBC Earth
53498,BBC Earth MD (WWD)
288,BBC Films
3712,BBC Scotland
50510,BBC Storyville
3164,BBC Worldwide
10290,BCDF Pictures
73625,BH Tilt
225,BIM Distribuzione
19478,BK
11963,BMS Finance
30531,BN Films
11548,BNDES
46136,BR Group
28361,BSM Studio
636,Babbo Inc.
57628,Babcock & Brown
93522,Babe Ruthless Productions
19481,Babelsberg Film
20656,Babieka
1219,Baby Cow Productions
93156,Baby Films
11259,Babylon
11260,Babylon Films Limited
208,Bac Films
7374,Back Lot Pictures
5381,Backup Films
26590,Backup Media
12649,Bad Cop Bad Cop Film Productions
9168,Bad Hat Harry Productions
11461,Bad Robot
10930,Bagdasarian Productions
36028,Bagman (2009)
58849,Bago Pictures
12752,Bait Productions
2234,Baldwin Entertainment Group
10026,Baleuko S.L.
38086,Ballpark Productions Partnership
10005,Balthazar Productions
11407,Baltimore Pictures
14719,Baltimore Spring Creek Pictures
16061,Baltimore Spring Creek Productions
528,Bandai Visual Company
8403,Bandito Brothers
71901,Bandoola Productions
2878,Bangkok Dangerous
30301,Banque Populaire Images 9
1997,Banques Populaire Image 7
45726,Banter
6563,Barbarian Films
553,Barclays Mercantile Industrial Finance
44993,Barentsfilm
37854,Barmak Film
17032,Barry Mendel Productions
49972,Barunson
3645,Barwood Films
3242,Base 12 Productions
52860,Bates Entertainment
19718,Battlefield Productions
2108,Battleplan Productions
23423,Baumgarten Management and Productions (BMP)
14652,Baumgarten Merims Productions
12968,Baumgarten-Prophet Entertainment
1704,Bavaria Film
33772,Bavaria Studios
6734,Bay Films
16062,Bayahibe Films Ltd.
7333,Bayerischer Rundfunk (BR)
1038,Bazelevs Production
240,Bazmark Films
23201,Be Gentlemen Limited Partnership
39706,Be Your Own Hollywood
919,Beacon Communications
10157,Beacon Pictures
46339,Beagle Pug Films
15877,Beanca Films
2867,Bearing Fruit Entertainment
11755,Bece Canada Productions
1915,Becker International
20634,"Bedford Falls Company, The"
348,Bedford Falls Productions
51753,Bedlam Pictures
5005,Bedlam Productions
2439,Bee Vine Pictures
6847,Beech Hill Films
14861,Before the Door Pictures
33088,Behavioral Problem Productions Ltd.
15866,Beijing Gallop Horse Film & TV Production
11553,Beijing Happy Pictures Cultural Communications Co.
21489,Beijing Heguchuan TV & Film
5636,Beijing Jinyinma Movie & TV Culture Co.
724,Beijing New Picture Film Co. Ltd.
11414,Beijing Poly-bona Film Publishing Company
45425,Beijing Silver Moon Productions
24923,Bekmambetov Projects Ltd.
788,Bel Air Entertainment
36612,Belhaven Limited
3308,Believe Entertainment
22481,Bell Broadcast and New Media Fund
48752,Bella Productions
2341,Belladonna Productions
32184,Belle Pictures
999,Belstar Productions
37015,Ben-Ami/Leeds Productions
6692,Benaroya Pictures
7620,Bend It Films
6363,BenderSpink
11175,Benderspink
2958,Bentley Filmgroup
77739,Bergsten Music
27711,Berlanti Productions
3194,Bernard Gayle Productions
10881,Bernd Eichinger Productions
51851,Berrick Filmproduktion
36186,Bersin Pictures
68064,"Best Picture Show Company, The"
21606,Better Wide
267,Beverly Detroit
72689,Beverly Ridge Pictures
2332,Bi-polar Pictures
3519,Big Arty Productions
12808,Big Beach Films
36988,Big Book Media
23434,Big Bug Pictures
15055,Big Easy Pictures
3204,Big Idea Productions
6831,Big Indie Pictures
8406,Big Kid Pictures
79036,Big Lou House Productions
68,Big Primate Pictures
10893,Big Screen Productions
443,Big Talk Productions
4195,Big Ticket Productions
78806,Bill Graham Films
7058,Bill Kenwright Films
41680,Bill Plympton Studios
46060,Bill/Phillips
90185,BillBlock Media
6419,Biograf Jan Svěrák
30271,Birchwood Pictures
4342,Bird and a Bear Entertainment
7436,Birdsong Pictures
26671,Biride Productions
18521,Birka Holding
58262,Birnbaum / Barber Productions
23731,Birnbaum/Barber
20450,Biscayne Pictures
59951,Bisgrove Entertainment
32719,Bitart New Media
2777,Black & White Productions
22146,Black Bear Pictures
73675,Black Diamond Pictures
42321,Black Entertainment Television (BET)
33681,Black Label Media
53007,Black and Blu Entertainment
2087,Blackfriars Bridge Films
41905,Blackmagic Design Films
23588,Blank of the Dead Productions
1872,Bleiberg Entertainment
7330,Blind Spot Pictures Oy
10262,Blind Wink
37381,Blind Wink Productions
12236,Blinding Edge Pictures
84489,BlinkWorks Media
8186,Bliss Media
16028,Blizzard Entertainment
8504,Block / Hanson
539,Block 2 Pictures
51852,Blood & Chocolate Productions Ltd
20927,Blood & Wine Productions
52909,Bloodline Productions
32537,Blossom Films
2599,Blue Askew
24562,Blue Dot Productions
10671,Blue Flower Productions
3983,Blue Gardenia Productions
40263,Blue Guitar Films
28064,Blue Light
361,Blue Parrot Productions
57347,Blue Productions
53012,Blue Sea Productions
33680,Blue Sky Films
9383,Blue Sky Studios
2779,Blue Star Pictures
21839,Blue Star Productions
72017,Blue Trail Entertainment
67173,Blue Train Productions
35304,Blue Tulip Productions
766,Blue Tulip Productions
10230,Blue Wolf
49126,Blue Yonder Films
32299,Blue-Tongue Films
10970,Blueeyes Productions
27451,Bluegrass Films
13778,Bluegrass Films
30037,Blueprint Pictures
2376,Blueprint Pictures
78322,Bluewater Pictures
3172,Blumhouse Productions
73087,Blump International Films
12260,Bob Yari Productions
11144,Bobby Jones Films LLC
36212,Boies / Schiller Film Group
2266,Bold Films
15127,Boll KG
1062,Boll Kino Beteiligungs GmbH & Co. KG
51955,Bollywood Hollywood Production
28176,Bomar OOD
2570,Bona Fide Productions
8250,Bona International Film Group
68097,Bonnie Timmermann Productions
15113,Boo Productions
282,Bookshop Productions
2965,Boram Entertainment Inc.
10058,BorderLine Films
44242,Born of War
8606,Boréales
36685,Bottom Line Entertainment
65559,Bottom of the Ninth Productions
11349,Bourne Again
37432,Bow and Arrow Entertainment
12626,Boxing Cat Films
10958,Brad Grey Pictures
3581,Brad Krevoy & Steve Stabler production
84890,Brad Zions Films
19747,Brandywine Productions
13817,Brass Hat Films
21911,Brat Na Pont Productions
4971,Brave New Films
23005,Braveworld Productions
29098,Breaking Ball Films
5673,Breakup Productions
21523,Brian Barrett Pictures
90663,Brian Grazer/Scott Rudin Productions
12271,Brick Dust Productions LLC
19925,Bridget Johnson Films
71899,Bright Cold Day Films
1063,Brightlight Pictures
56735,Brightside Entertainment
1606,Brillstein-Grey Entertainment
18811,Brink Films
38145,Bristol Automotive
2233,Bristol Bay Productions
15278,British Broadcasting Corporation (BBC)
3324,British Broadcasting Corporation (BBC)
48136,British Broadcasting Corporation (BBC) Television
10316,British Columbia Film
10889,British Film Council
8092,British Film Institute
7281,British Film Institute (BFI)
871,British Screen
12745,British Screen Productions
20777,British Screen Productions
37618,Britt Allcroft Productions
49389,Broad Green Pictures
1756,Broadway Video
63924,Broken Chair Flickz
2773,Broken Lizard Industries
8000,Broken Road Productions
13240,Bron Studios
11342,Brood Syndicate
10672,Brooklyn Films II
49786,Brooks Media
5612,Brooksfilms
617,Brooksfilms Ltd.
3160,Brookstreet Pictures
3235,Brookwell-McNamara Entertainment
66930,Brothers Dowdle Productions
26423,BrownHouse Productions
12365,Brownstone Productions
5330,Bruin Grip Services
11250,Buckaroo Entertainment
32,Buena Vista
11200,Buena Vista Home Entertainment
6342,Bueprint Pictures
11517,Buffalo Gal Pictures
54850,Bulletproof Cupid
73952,Bullwinkle Studios
369,Bungalow 78 Productions
11600,Bungalow Productions
17106,Burg/Koules Productions
23938,Burke/Samples/Foster Productions
18346,Burn Later Productions
13818,Burnside Entertainment
59955,Burro Productions
8290,Busboy Productions
72943,Bushwick Factory
20644,Business Location Sudtirol Alto Adige
49244,Buttercup Films Ltd.
11568,Butterfly Productions
17181,Byronic Pose Productions
61373,Bystander Films
2903,Bystorm Films
1101,Bésame Mucho Pictures
1898,Bórd Scannán na hÉireann
21905,C & L
3989,C&P Productions
7340,C-2 Pictures
85889,C.H.U.D. Productions
8291,C.R.G. International
11433,C.R.R.A.V. Nord Pas de Calais
7923,CAMERON MACKINTOSH
5490,CBS Films
13367,CDI
14309,CIP Filmproduktion GmbH
946,CJ Capital Investment
7036,CJ Entertainment
68353,CKRush Entertainment
3145,CN Film
32793,CST Telecommunications
44210,Cactus Flower Producciones
72741,CalTex Films
3435,Calder Road Film
11049,Caliber Media Company
45518,Calimari Productions
60378,Callahan Filmworks
19483,Calle Cruzada
4293,Cambridge Productions
39226,Camellia Productions
11728,Camelot Pictures
523,Camelot Productions
79821,Camera Stylo Films
4404,Camp / Thompson Pictures
381,Campanile Productions
48738,Campbell Grobman Films
82667,Camphor Cinema
57498,Canada Television and Cable Production Fund License Program (CTCPF)
12113,Canadian Broadcasting Corporation (CBC)
14185,Canadian Film Centre (CFC)
4952,Canadian Film Development Corporation (CFDC)
8582,Canadian Film or Video Production Tax Credit (CPTC)
20170,Canadian Television Fund
104,Canal Plus
524,Canal Plus Group
73189,Canal Plus Overseas
5358,Canal+
53473,Canal+ Droits Audiovisuels
9335,Canal+ España
6476,Canal+ Polska
12927,Canal+ Television AB
250,Canal+Polska
19690,Caneo Films
19355,Canlaws Productions
9194,Cannell Studios
4110,Cannon Films
1444,Cannon Group
16337,Cannon Pictures
51903,Cantharus Productions
50491,Capacity Pictures
7220,Capcom
35063,Cape Of Good Films
594,Capella International
826,Capitol Films
691,Cappa Productions
17055,Capstone Entertainment Group
25716,Captivate Entertainment
175,Caravan Pictures
34380,Cargo Entertainment
3290,Carmel Entertainment
4098,Carnaby International
6196,Carnival Films
26084,Caro-McLeod
35445,Carol Baum Productions
80461,Carolco International N.V.
14723,Carolco Pictures
504,Carolina Bank
8900,Carousel Picture Company
19944,"Carousel Picture Company, The"
11176,Carousel Productions
3215,Carsey-Werner Company
20395,Carthago Films S.a.r.l.
10154,Cartier Productions
33423,Cartoon Network
7899,Cartoon Network Studios
23948,Cartoon Saloon
64857,Caruso / Mendelsohn Productions
11582,Case 39 Productions
8040,Casey Productions
877,Casey Silver Productions
1370,Castel Film Romania
7956,Castelao Producciones
97,Castle Rock Entertainment
93528,Casual Friday Productions
7053,Catch 23 Entertainment
11052,Catch Productions
8870,CatchPlay
86,Catfish Productions
46694,Catherine Bailey Ltd.
22130,Catmandu Branded Entertainment
10102,Cattleya
52947,Catwoman Films
2699,Caviar Films
371,Cecchi Gori Group Tiger Cinematografica
65394,Cecchi Gori Pictures
3573,Celador Films
1390,Celador Productions
860,Celluloid Dreams
54336,Cent Productions Inc.
26029,Centauri Media
1787,Central Cinema Company Film
11258,Central Films
25345,Central Motion Pictures
2195,Central-Europa Film
310,Centre National de la Cinématographie
18367,Centre National de la Cinématographie (CNC)
11545,Centre Régional des Ressources Audiovisuelles (CRRAV)
347,Centropolis Entertainment
620,Centropolis Film Productions
69462,Centrul National al Cinematografiei (CNC)
1692,Centurion Investment
7367,Chad Troutwine Films
7332,Chako Film Company
75037,Challenge Film Corporation
12234,Chambara Pictures
181,Channel Four Films
1039,Channel One Russia
7766,Chaocorp
20339,Chapter 2
55265,Chapter One Films
30218,Character Matters
75937,Charenton Productions
19835,Charenton Productions Limited
1315,Charles Chaplin Productions
1317,Charles K. Feldman Group
45004,Charlie Guidance
3200,Chartoff Productions
88686,Chartoff Winkler Productions
12252,Chartoff-Winkler Productions
16517,Chase Productions
79031,Chatrone
10853,Cheap and Dirty Productions Inc.
86061,Cheerland Entertainment Organization
5830,Cheetah Vision
11417,Chengtian Entertainment
945,Cheongeoram
30302,Cheri Productions
7076,Chernin Entertainment
2232,Cherry Alley Productions
20757,Cherry On Top
1700,Cherry Road Films LLC
890,Cheyenne Enterprises
34780,Chi-Fou-Mi Productions
