director_id,director_name,gender,gender_label
18281,Donald Petrie,2,Male
1027738,Donovan Cook,0,Unknown
109640,Doug Atchison,2,Male
586066,Doug Block,2,Male
58656,Doug Lefler,0,Unknown
11694,Doug Liman,2,Male
67896,Doug McHenry,2,Male
71901,Douglas Aarniokoski,2,Male
90525,Douglas Cheek,0,Unknown
32983,Douglas McGrath,2,Male
12112,Douglas Trumbull,2,Male
69597,Drew Barrymore,1,Female
47506,Drew Goddard,2,Male
1085923,Dror Moreh,0,Unknown
1149038,Duane Journey,0,Unknown
1019303,Duke Johnson,2,Male
81850,Duncan Jones,2,Male
4483,Dustin Hoffman,2,Male
56998,Dwight H. Little,0,Unknown
