director_id,director_name,gender,gender_label
11427,William Roberts,2,Male
554946,William Sachs,2,Male
1748,William Shatner,2,Male
10001,William Wyler,2,Male
63571,Wilson Yip,2,Male
4780,Wolfgang Becker,2,Male
5231,Wolfgang Petersen,2,Male
12453,Wong Kar-wai,2,Male
1243,Woody Allen,2,Male
65615,Wych Kaosayananda,0,Unknown
72320,Xavier Beauvois,2,Male
18184,Xavier Gens,2,Male
56736,Xavier Palud,2,Male
91603,Yaron Shani,0,Unknown
35770,Yash Chopra,2,Male
87537,Yoon Je-kyoon,2,Male
122423,Yorgos Lanthimos,2,Male
930627,Youssef Delara,0,Unknown
1496406,Yuefeng Song,0,Unknown
31093,Yvette Kaplan,0,Unknown
5367,Zach Braff,2,Male
84833,Zach Cregger,2,Male
15217,Zack Snyder,2,Male
12714,Zack Ward,2,Male
439236,Zackary Adler,0,Unknown
11011,Zak Penn,2,Male
933739,Zal Batmanglij,2,Male
607,Zhang Yimou,2,Male
1155992,Zoran Lisinac,0,Unknown
94220,Àlex Pastor,2,Male
57865,Álex de la Iglesia,0,Unknown
6980,Émile Gaudreault,2,Male
130358,Éric Tessier,2,Male
1555903,Étienne Faure,0,Unknown
143217,张立 | Zhang Li,2,Male
