actor_id,actor_name,gender,gender_label
969125,Ahmed Hassan,2,Male
17121,Ahn Sung-Ki,2,Male
84943,Ahnaise Christmas,0,Unknown
1174070,Ai Tominaga,0,Unknown
1285546,Aida Elkashef,0,Unknown
16872,Aida Folch,1,Female
106791,Aida Turturro,0,Unknown
237,Aidan Devine,2,Male
47653,Aidan McArdle,2,Male
18992,Aidan Quinn,2,Male
1465051,Aiden Flowers,0,Unknown
984724,Aiden Lovekamp,0,Unknown
1224238,Aimee Carrero,1,Female
56457,Aimee Garcia,1,Female
35545,Aimee Graham,1,Female
145836,Aimee Teegarden,1,Female
38674,Aisha Tyler,1,Female
87773,Aishwarya Rai Bachchan,1,Female
1134883,Aislinn Derbez,0,Unknown
37946,Aitana Sánchez-Gijón,1,Female
1982,Ajay Naidu,2,Male
1367762,Akemi Goto,1,Female
41757,Aki Aleong,2,Male
20338,Akihiro Miwa,0,Unknown
1770,Akiko Takeshita,0,Unknown
1261092,Akin Gazi,0,Unknown
40451,Akio Ohtsuka,2,Male
20337,Akira Nagoya,0,Unknown
214839,Akon,2,Male
13308,Akosua Busia,1,Female
76547,Aksel Hennie,2,Male
35070,Akshay Kumar,2,Male
87328,Akshaye Khanna,2,Male
16646,Al Bandiero,2,Male
52063,Al Cliver,0,Unknown
19013,Al Gore,2,Male
111714,Al Green,2,Male
1158,Al Pacino,2,Male
116337,Al Sanders,0,Unknown
154917,Al Sapienza,2,Male
36172,Al Waxman,2,Male
1015830,Al Weaver,2,Male
124016,Al Whiting,0,Unknown
1285403,Aladdin Ullah,0,Unknown
21292,Alain Goulem,2,Male
1427888,Alain Moussi,2,Male
20051,Alakina Mann,1,Female
21278,Alan Alda,2,Male
1903,Alan Arkin,2,Male
1865496,Alan B. Jones,0,Unknown
39065,Alan Badel,2,Male
27554,Alan Bates,2,Male
595477,Alan Bean,2,Male
22053,Alan Blumenfeld,2,Male
52703,Alan C. Peterson,2,Male
10697,Alan Cumming,2,Male
52760,Alan Dale,2,Male
1331901,Alan Dukes,0,Unknown
1116,Alan Ford,2,Male
126583,Alan Gelfant,2,Male
104882,Alan Keyes,0,Unknown
7169,Alan King,2,Male
1837918,Alan Lilly,0,Unknown
175315,Alan MacGillivray,0,Unknown
1465971,Alan North,0,Unknown
24320,Alan Oppenheimer,0,Unknown
144606,Alan Pietruszewski,2,Male
4566,Alan Rickman,2,Male
3008,Alan Rosenberg,2,Male
2394,Alan Ruck,2,Male
26075,Alan Scarfe,2,Male
1213620,Alan Simpson,0,Unknown
21088,Alan Tudyk,2,Male
81433,Alan Welner,0,Unknown
99183,Alan van Sprang,2,Male
10402,Alanna Ubach,1,Female
1466624,Alastair Cumming,0,Unknown
128748,Alba Rohrwacher,1,Female
13,Albert Brooks,2,Male
2755,Albert Dekker,2,Male
3730,Albert Delpy,2,Male
14606,Albert Dupontel,2,Male
3926,Albert Finney,0,Unknown
8354,Albert Hall,2,Male
19958,Alberta Watson,1,Female
239482,Alberto Gimignani,0,Unknown
24919,Alberto Jiménez,2,Male
27462,Alberto San Juan,2,Male
71375,Alden Ehrenreich,2,Male
83860,Aldis Hodge,0,Unknown
120019,Aldo Baglio,0,Unknown
7447,Alec Baldwin,2,Male
12248,Alec Guinness,2,Male
13362,Alec Newman,2,Male
1196960,Alec Utgoff,2,Male
1420627,Aleisha Force,0,Unknown
968353,Alejandro Abelenda,0,Unknown
111092,Alejandro Casaseca,0,Unknown
169625,Alejandro Furth,0,Unknown
81957,Alejandro Patino,0,Unknown
1200532,Alejandro Ramírez-Muñoz,0,Unknown
113626,Alejandro Urdapilleta,2,Male
43556,Aleksander Mikic,0,Unknown
86636,Aleksandr Bashirov,2,Male
1337024,Aleksandr Chutko,0,Unknown
579743,Aleksandr Ilin,0,Unknown
97369,Aleksandr Robak,2,Male
131210,Aleksandr Yakovlev,0,Unknown
936823,Aleksei Suknovalov,0,Unknown
101433,Aleksey Chadov,0,Unknown
129658,Aleksia Landeau,0,Unknown
207606,Alessandra Ambrosio,0,Unknown
145326,Alessandra Mastronardi,1,Female
57345,Alessandro Gassman,2,Male
1469630,Alessandro Lindblad,0,Unknown
4941,Alessandro Nivola,2,Male
24288,Alessandro Preziosi,2,Male
961834,Alex Anfanger,2,Male
3813,Alex Angulo,2,Male
43945,Alex Boling,0,Unknown
24357,Alex Borstein,1,Female
1047312,Alex Briley,0,Unknown
5395,Alex Burns,0,Unknown
21724,Alex Carter,2,Male
1187541,Alex Corrado,0,Unknown
31493,Alex Cox,0,Unknown
15789,Alex D. Linz,2,Male
32749,Alex Diakun,2,Male
75655,Alex Dimitriades,2,Male
109786,Alex Feldman,2,Male
21914,Alex Fong Chung-Sun,2,Male
71797,Alex Gibney,2,Male
1467025,Alex Goode,0,Unknown
123515,Alex Karpovsky,2,Male
78040,Alex Kendrick,2,Male
83701,Alex Kingston,1,Female
1379277,Alex Lawther,2,Male
126042,Alex MacQueen,0,Unknown
172150,Alex Manette,0,Unknown
98278,Alex Mauriello,0,Unknown
84217,Alex Meraz,2,Male
111176,Alex Michaeletos,0,Unknown
113747,Alex Petrovitch,2,Male
61363,Alex Pettyfer,2,Male
79703,Alex Rafalowicz,2,Male
57576,Alex Reid,0,Unknown
20752,Alex Rocco,2,Male
1167375,Alex Roe,2,Male
558466,Alex Russell,2,Male
83108,Alex Thomas,2,Male
1331902,Alex Thompson,0,Unknown
65683,Alex Vincent,2,Male
18355,Alex Winter,2,Male
28109,Alexa Davalos,1,Female
1502455,Alexa Morden,0,Unknown
152302,Alexa Nikolas,1,Female
57674,Alexa PenaVega,1,Female
1049596,Alexander Carroll,2,Male
996224,Alexander DiPersia,2,Male
31663,Alexander Fehling,2,Male
1825608,Alexander G. Eckert,0,Unknown
1393181,Alexander Garfin,0,Unknown
7674,Alexander Godunov,2,Male
12,Alexander Gould,2,Male
28422,Alexander Hörbe,2,Male
115737,Alexander Karim,2,Male
23498,Alexander Ludwig,2,Male
32808,Alexander Morton,2,Male
67817,Alexander Pollock,2,Male
12765,Alexander Schwan,2,Male
2957,Alexander Siddig,2,Male
28846,Alexander Skarsgård,2,Male
20058,Alexander Vince,2,Male
1080771,Alexander Vlahos,0,Unknown
1185441,Alexander Voulgaris,0,Unknown
118753,Alexander Wraith,2,Male
58369,Alexandra Breckenridge,1,Female
1478272,Alexandra Callas,0,Unknown
190944,Alexandra Castillo,1,Female
109513,Alexandra Daddario,1,Female
